P86005,F,2014,305
P82021,V,2009,4
P87657,M,2011,591
P87657,m,2011,2532
P84074,i,2007,24
P84074,I,2007,1
P87630,1,1991,70
P87032,4,1994,172
P92016,I,2010,1
P87002,S,1967,8
P91032,K,1986,1
P87642,X,2006,1
P91020,e,2004,15
P91016,9,1997,1
P83001,b,1999,198
P83001,B,1999,17
P87015,.,2009,2
P82652,4,2002,47
P87668,Q,1996,4
P87648,R,1992,2
P84640,N,2001,6
P87017,B,1976,2
P87004,8,1990,82
P91014,N,1992,2
Not Recorded,M,2013,36
Not Recorded,m,2013,14
P87004,M,2004,112
P87004,m,2004,1715
P87027,H,1979,34
P84676,e,2010,1
P82006,2,2008,6
Y02129,7,1996,3
P87634,4,2002,35533
P87659,d,1999,2262
P87659,D,1999,2
P91629,e,2006,14
P91629,E,2006,14
P87024,5,1981,46
P87028,8,1984,4
P87660,9,1968,1
P92042,J,1978,1
P87035,7,1973,35
P84683,0,2009,6
P87035,n,2010,1116
P87035,N,2010,1769
P87019,d,1997,7080
P87019,D,1997,75
P83025,4,2008,895
P87020,i,1998,438
P87020,I,1998,7
N81007,e,2014,1
P84012,H,2009,1
P84039,m,2010,2
P85612,4,2008,1
P87639,0,2012,220
P87620,$,2001,257
P87629,6,2013,3786
P82616,C,2007,1
P87625,S,1994,68
P87002,2,2001,17537
P83623,J,1995,1
P91025,g,1996,2
P87637,R,2005,97
Y02321,O,2000,4
P84026,3,2006,2
Not Recorded,3,2003,13
P87618,p,2002,33
P87618,P,2002,541
P87661,j,2011,1539
P87661,J,2011,282
P87624,M,2011,3509
P87624,m,2011,149
P82012,2,2003,15
P87019,1,1950,3
P87018,3,2002,1
P84061,9,2007,9
N81059,l,2013,1
Y02886,~,2011,4
P91037,D,2010,1
P91037,d,2010,25
P87025,M,1978,8
P87641,p,2011,15
P87641,P,2011,5645
P87008,2,1953,1
P92646,H,1997,5
Y02622,2,1985,8
P87634,A,1951,2
P84012,7,1997,1
P91012,j,2011,70
P91012,J,2011,7
P91625,g,2003,2
P91625,8,2005,10
P87014,P,1985,6
P91035,c,2006,16
P91035,C,2006,2
P84030,2,2014,85
P87040,T,1970,4
P83011,N,2010,7
P83621,e,1994,1
P87002,i,1999,910
